,Source,Target,Type,id,label,timeset,weight
2,1881,2876,Directed,2,,,1.0
3,1881,2073,Directed,3,,,1.0
5,1881,1002,Directed,5,,,1.0
6,1881,1199,Directed,6,,,1.0
7,1881,799,Directed,7,,,1.0
8,1881,2193,Directed,8,,,1.0
9,1881,2401,Directed,9,,,1.0
10,1881,1316,Directed,10,,,1.0
11,1881,501,Directed,11,,,1.0
12,1881,1638,Directed,12,,,1.0
13,1881,112,Directed,13,,,1.0
14,1881,628,Directed,14,,,1.0
16,1881,120,Directed,16,,,1.0
19,1881,18,Directed,19,,,1.0
20,1881,1412,Directed,20,,,1.0
21,1881,323,Directed,21,,,1.0
22,1881,176,Directed,22,,,1.0
24,1881,53,Directed,24,,,1.0
25,1881,109,Directed,25,,,1.0
26,1881,1977,Directed,26,,,1.0
28,1881,30,Directed,28,,,1.0
29,1881,9,Directed,29,,,1.0
31,1881,925,Directed,31,,,1.0
32,1881,435,Directed,32,,,1.0
33,1881,1791,Directed,33,,,1.0
34,1881,351,Directed,34,,,1.0
35,1881,31,Directed,35,,,1.0
36,1881,1273,Directed,36,,,1.0
37,1881,1078,Directed,37,,,1.0
38,1881,556,Directed,38,,,1.0
39,1881,46,Directed,39,,,1.0
40,1881,444,Directed,40,,,1.0
41,1881,84,Directed,41,,,1.0
42,1881,8,Directed,42,,,1.0
43,1881,688,Directed,43,,,1.0
44,1881,590,Directed,44,,,1.0
45,1881,7,Directed,45,,,1.0
46,1881,2594,Directed,46,,,1.0
47,1881,1387,Directed,47,,,1.0
49,1881,12,Directed,49,,,1.0
50,1881,4211,Directed,50,,,1.0
51,1881,1842,Directed,51,,,1.0
52,1881,146,Directed,52,,,1.0
53,2177,1037,Directed,53,,,1.0
55,2177,306,Directed,55,,,1.0
56,2177,893,Directed,56,,,1.0
57,2177,146,Directed,57,,,1.0
58,2177,46,Directed,58,,,1.0
59,2177,8,Directed,59,,,1.0
60,2177,688,Directed,60,,,1.0
61,2177,323,Directed,61,,,1.0
62,2177,876,Directed,62,,,1.0
63,2177,351,Directed,63,,,1.0
64,2205,501,Directed,64,,,1.0
65,2205,422,Directed,65,,,1.0
66,2205,7,Directed,66,,,1.0
67,2205,351,Directed,67,,,1.0
68,2205,688,Directed,68,,,1.0
69,2205,461,Directed,69,,,1.0
70,2205,167,Directed,70,,,1.0
71,1476,1999,Directed,71,,,1.0
72,1476,876,Directed,72,,,1.0
73,1476,46,Directed,73,,,1.0
74,1476,16,Directed,74,,,1.0
75,1476,7,Directed,75,,,1.0
76,1476,1801,Directed,76,,,1.0
77,1476,422,Directed,77,,,1.0
78,1476,2294,Directed,78,,,1.0
79,1476,27,Directed,79,,,1.0
80,1476,1377,Directed,80,,,1.0
82,1476,2884,Directed,82,,,1.0
83,1476,146,Directed,83,,,1.0
141,3437,3130,Directed,141,,,1.0
142,3437,2906,Directed,142,,,1.0
143,3437,145,Directed,143,,,1.0
144,3437,2148,Directed,144,,,1.0
146,3437,2047,Directed,146,,,1.0
147,3437,2414,Directed,147,,,1.0
148,3437,3986,Directed,148,,,1.0
151,3437,2562,Directed,151,,,1.0
152,3437,351,Directed,152,,,1.0
153,3437,422,Directed,153,,,1.0
154,3437,8,Directed,154,,,1.0
155,3437,688,Directed,155,,,1.0
156,3437,4224,Directed,156,,,1.0
157,3437,2243,Directed,157,,,1.0
158,3437,7,Directed,158,,,1.0
160,3437,903,Directed,160,,,1.0
161,3437,2668,Directed,161,,,1.0
162,3437,1449,Directed,162,,,1.0
163,3437,2490,Directed,163,,,1.0
164,3437,762,Directed,164,,,1.0
166,3437,925,Directed,166,,,1.0
167,3437,1167,Directed,167,,,1.0
168,3437,501,Directed,168,,,1.0
169,3437,200,Directed,169,,,1.0
170,3437,283,Directed,170,,,1.0
171,3437,850,Directed,171,,,1.0
172,3437,120,Directed,172,,,1.0
173,3437,59,Directed,173,,,1.0
174,3437,1791,Directed,174,,,1.0
175,3437,3435,Directed,175,,,1.0
176,3437,1144,Directed,176,,,1.0
177,3437,3197,Directed,177,,,1.0
178,3437,2499,Directed,178,,,1.0
179,3437,280,Directed,179,,,1.0
180,3437,1157,Directed,180,,,1.0
181,3437,1075,Directed,181,,,1.0
183,3437,1108,Directed,183,,,1.0
185,3437,628,Directed,185,,,1.0
186,3437,9,Directed,186,,,1.0
187,3437,718,Directed,187,,,1.0
188,3437,921,Directed,188,,,1.0
189,3437,112,Directed,189,,,1.0
190,3437,2105,Directed,190,,,1.0
192,3437,146,Directed,192,,,1.0
193,89,2386,Directed,193,,,1.0
194,89,10,Directed,194,,,1.0
197,89,293,Directed,197,,,1.0
198,89,331,Directed,198,,,1.0
199,89,1663,Directed,199,,,1.0
200,89,55,Directed,200,,,1.0
201,89,1501,Directed,201,,,1.0
202,89,306,Directed,202,,,1.0
203,89,1037,Directed,203,,,1.0
204,89,146,Directed,204,,,1.0
205,89,138,Directed,205,,,1.0
207,89,45,Directed,207,,,1.0
208,89,298,Directed,208,,,1.0
209,89,307,Directed,209,,,1.0
