,id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,latitude,longitude,country,city
0,1881,ComunidadVS,,followers,/home/usnish/twitter_ypcdn/img/2748419838.png,0.387,25,487,triangle-up,ncdaction.dat,646,2748419838,1.3265,2146,46.2044,6.1432,Switzerland,Geneva
2,2177,sohel_sadeque,,followers,/home/usnish/twitter_ypcdn/img/2378987484.jpg,0.0,0,1006,triangle-down,ncdaction.dat,71,2378987484,0.0706,59,23.685,90.3563,Bangladesh,
3,2205,TapWaterDay,,followers,/home/usnish/twitter_ypcdn/img/3063456992.jpg,0.1079,3,1007,triangle-down,ncdaction.dat,278,3063456992,0.2761,86,39.1347,-121.171,United States,
4,1476,Liferaftgroup,,followers,/home/usnish/twitter_ypcdn/img/17217389.jpg,0.4485,47,935,triangle-up,ncdaction.dat,1048,17217389,1.1209,2262,40.9254,-74.2765,United States,Wayne
7,3437,DVGS_eV,,followers,/home/usnish/twitter_ypcdn/img/3341322683.jpg,0.5176,56,3671,triangle-down,ncdaction.dat,1082,3341322683,0.2947,2635,50.8806,6.8881,Germany,Hürth
8,89,7BillionActions,,followers,/home/usnish/twitter_ypcdn/img/293109570.jpg,0.2526,172,848,triangle-up,ncdaction.dat,6810,293109570,8.0307,924,35.9813,-115.098,United States,Henderson
10,1823,bangertjoy,,followers,/home/usnish/twitter_ypcdn/img/151587841.jpg,0.1299,1,265,triangle-down,ncdaction.dat,77,151587841,0.2906,0,46.2044,6.1432,Switzerland,Geneva
12,583,MartineChaussar,,followers,/home/usnish/twitter_ypcdn/img/226745618.jpg,0.3333,10,579,triangle-down,ncdaction.dat,300,226745618,0.5181,746,33.749,-84.388,United States,Atlanta
13,2617,Libbysalz,,followers,/home/usnish/twitter_ypcdn/img/45537565.jpg,0.4938,20,1098,triangle-down,ncdaction.dat,405,45537565,0.3689,3263,-1.2921,36.8219,Kenya,Nairobi
14,1893,GiuliaPerazzini,,followers,/home/usnish/twitter_ypcdn/img/489870416.jpg,0.0,0,63,triangle-down,ncdaction.dat,22,489870416,0.3492,28,55.6761,12.5683,Denmark,Copenhagen
15,1014,No1FitnessApp,,followers,/home/usnish/twitter_ypcdn/img/1730348870.jpg,0.083,55,5312,triangle-up,ncdaction.dat,6629,1730348870,1.2479,3704,32.6562,-117.0657,United States,National City
16,4223,muhetoalpha,,followers,/home/usnish/twitter_ypcdn/img/267810143.jpg,0.0,0,1450,triangle-down,ncdaction.dat,341,267810143,0.2352,102,-1.9706,30.1044,Rwanda,Kigali
17,2237,charitiestom,,followers,/home/usnish/twitter_ypcdn/img/3102159154.jpg,0.1,1,453,triangle-down,ncdaction.dat,100,3102159154,0.2208,118,53.4808,-2.2426,United Kingdom,Manchester
18,2562,EU_eHealth,,followers,/home/usnish/twitter_ypcdn/img/24145340.jpg,0.5636,1306,8683,triangle-up,ncdaction.dat,23171,24145340,2.6685,11538,50.8503,4.3517,Belgium,
19,95,FACEAIDS,,followers,/home/usnish/twitter_ypcdn/img/20341783.jpg,0.3579,177,2398,triangle-up,ncdaction.dat,4945,20341783,2.0621,2583,36.7783,-119.4179,United States,
