id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,indegree,outdegree,degree
1881,ComunidadVS,,followers,/home/usnish/twitter_ypcdn/img/2748419838.png,0.387,25,487,triangle-up,ncdaction.dat,646,2748419838,1.3265,2146,19,53,72
1722,jacehol10772902,,followers,/home/usnish/twitter_ypcdn/img/2553177234.png,0.0,0,1039,triangle-down,ncdaction.dat,47,2553177234,0.0452,1,0,0,0
2177,sohel_sadeque,,followers,/home/usnish/twitter_ypcdn/img/2378987484.jpg,0.0,0,1006,triangle-down,ncdaction.dat,71,2378987484,0.0706,59,0,11,11
2205,TapWaterDay,,followers,/home/usnish/twitter_ypcdn/img/3063456992.jpg,0.1079,3,1007,triangle-down,ncdaction.dat,278,3063456992,0.2761,86,0,7,7
1476,Liferaftgroup,,followers,/home/usnish/twitter_ypcdn/img/17217389.jpg,0.4485,47,935,triangle-up,ncdaction.dat,1048,17217389,1.1209,2262,6,13,19
3203,EvelyneAuer,,followers,/home/usnish/twitter_ypcdn/img/3881227589.jpg,0.1724,1,112,triangle-down,ncdaction.dat,58,3881227589,0.5179,189,4,20,24
3521,miles_woodruff,,followers,/home/usnish/twitter_ypcdn/img/771130392.jpg,0.1594,11,4872,triangle-down,ncdaction.dat,690,771130392,0.1416,141,4,36,40
3437,DVGS_eV,,followers,/home/usnish/twitter_ypcdn/img/3341322683.jpg,0.5176,56,3671,triangle-down,ncdaction.dat,1082,3341322683,0.2947,2635,4,53,57
89,7BillionActions,,followers,/home/usnish/twitter_ypcdn/img/293109570.jpg,0.2526,172,848,triangle-up,ncdaction.dat,6810,293109570,8.0307,924,77,17,94
2156,KahnShakil,,followers,/home/usnish/twitter_ypcdn/img/3016696065.jpg,0.0,0,80,triangle-down,ncdaction.dat,5,3016696065,0.0625,0,0,3,3
1823,bangertjoy,,followers,/home/usnish/twitter_ypcdn/img/151587841.jpg,0.1299,1,265,triangle-down,ncdaction.dat,77,151587841,0.2906,0,1,5,6
4170,lisaphillip85,,followers,/home/usnish/twitter_ypcdn/img/21861967.jpg,0.1119,3,919,triangle-down,ncdaction.dat,268,21861967,0.2916,1600,1,10,11
583,MartineChaussar,,followers,/home/usnish/twitter_ypcdn/img/226745618.jpg,0.3333,10,579,triangle-down,ncdaction.dat,300,226745618,0.5181,746,51,92,143
2617,Libbysalz,,followers,/home/usnish/twitter_ypcdn/img/45537565.jpg,0.4938,20,1098,triangle-down,ncdaction.dat,405,45537565,0.3689,3263,16,59,75
1893,GiuliaPerazzini,,followers,/home/usnish/twitter_ypcdn/img/489870416.jpg,0.0,0,63,triangle-down,ncdaction.dat,22,489870416,0.3492,28,0,7,7
