# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20160701-20170726,,,,,,,,,
# ----------------------------------------,,,,,,,,,
Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
United States,"9,575",85.12%,"8,150",74.92%,1.95,00:01:39,0.00%,0,$0.00 
United Kingdom,"6,820",96.26%,"6,565",76.01%,1.43,00:00:39,0.00%,0,$0.00 
Indonesia,"3,460",94.51%,"3,270",79.36%,1.3,00:00:42,0.00%,0,$0.00 
Germany,"2,886",96.47%,"2,784",69.09%,1.5,00:01:01,0.00%,0,$0.00 
Italy,"2,473",97.33%,"2,407",74.89%,1.37,00:00:44,0.00%,0,$0.00 
Russia,"2,407",90.65%,"2,182",73.08%,1.38,00:01:04,0.00%,0,$0.00 
Kenya,"2,247",63.15%,"1,419",62.48%,2.29,00:02:47,0.00%,0,$0.00 
Turkey,"2,092",97.47%,"2,039",81.74%,1.26,00:00:37,0.00%,0,$0.00 
Canada,"1,577",85.92%,"1,355",74.70%,1.91,00:01:22,0.00%,0,$0.00 
Malaysia,"1,574",96.44%,"1,518",77.95%,1.3,00:00:33,0.00%,0,$0.00 
India,"1,355",67.38%,913,65.39%,2.09,00:03:37,0.00%,0,$0.00 
Rwanda,"1,276",57.84%,738,62.77%,2.27,00:03:34,0.00%,0,$0.00 
France,"1,239",96.13%,"1,191",75.38%,1.39,00:00:39,0.00%,0,$0.00 
Australia,"1,012",90.22%,913,73.62%,1.67,00:01:16,0.00%,0,$0.00 
Spain,974,92.20%,898,72.28%,1.45,00:00:44,0.00%,0,$0.00 
Bangladesh,963,51.19%,493,47.46%,7.64,00:10:38,0.00%,0,$0.00 
Netherlands,929,94.40%,877,75.03%,1.46,00:00:39,0.00%,0,$0.00 
Slovakia,829,95.42%,791,73.70%,1.38,00:01:13,0.00%,0,$0.00 
Switzerland,748,91.84%,687,74.33%,1.56,00:00:49,0.00%,0,$0.00 
South Africa,732,91.39%,669,80.19%,1.35,00:00:49,0.00%,0,$0.00 
Nigeria,695,84.32%,586,75.54%,1.71,00:01:25,0.00%,0,$0.00 
Uganda,694,60.09%,417,60.95%,2.29,00:03:43,0.00%,0,$0.00 
Greece,691,96.24%,665,68.16%,1.45,00:00:39,0.00%,0,$0.00 
New Zealand,674,91.54%,617,74.93%,1.56,00:01:11,0.00%,0,$0.00 
Hungary,652,95.71%,624,68.87%,1.48,00:00:50,0.00%,0,$0.00 
Ireland,583,97.94%,571,79.59%,1.3,00:00:37,0.00%,0,$0.00 
United Arab Emirates,581,96.04%,558,65.75%,1.58,00:00:48,0.00%,0,$0.00 
Romania,579,96.03%,556,74.27%,1.39,00:00:40,0.00%,0,$0.00 
Bosnia and Herzegovina,559,97.32%,544,70.66%,1.44,00:00:53,0.00%,0,$0.00 
Portugal,540,96.48%,521,73.52%,1.43,00:00:40,0.00%,0,$0.00 
Croatia,514,96.69%,497,71.98%,1.38,00:00:50,0.00%,0,$0.00 
Serbia,509,96.07%,489,74.85%,1.32,00:00:45,0.00%,0,$0.00 
Belgium,503,94.83%,477,72.56%,1.47,00:00:43,0.00%,0,$0.00 
Ukraine,494,95.14%,470,65.18%,1.71,00:01:27,0.00%,0,$0.00 
Tanzania,491,62.93%,309,72.51%,1.86,00:02:22,0.00%,0,$0.00 
Sweden,485,93.81%,455,72.58%,1.44,00:00:42,0.00%,0,$0.00 
Argentina,478,92.47%,442,83.89%,1.29,00:00:35,0.00%,0,$0.00 
Mexico,466,94.21%,439,78.97%,1.67,00:00:51,0.00%,0,$0.00 
Czech Republic,459,97.82%,449,71.02%,1.38,00:00:44,0.00%,0,$0.00 
Austria,457,95.19%,435,71.12%,1.43,00:00:39,0.00%,0,$0.00 
Thailand,422,96.68%,408,72.04%,1.42,00:00:50,0.00%,0,$0.00 
Ethiopia,419,45.58%,191,38.90%,4.07,00:07:24,0.00%,0,$0.00 
Kazakhstan,413,97.09%,401,80.87%,1.28,00:00:41,0.00%,0,$0.00 
Poland,406,97.54%,396,78.08%,1.27,00:00:34,0.00%,0,$0.00 
